sample-id	type
206630	stool
219668	stool
219644	stool
206750	stool
206681	stool
215010	stool
206723	stool
206659	stool
206712	stool
206629	stool
219637	stool
206660	stool
206728	stool
219675	stool
206711	stool
215049	stool
206673	stool
206548	stool
206605	stool
206669	stool
206762	stool
206702	stool
206648	stool
206731	stool
206657	stool
206609	stool
224324	stool
206617	stool
206710	stool
215007	stool
206623	stool
206683	stool
224325	stool
206753	stool
206757	stool
206624	stool
206720	stool
206676	stool
219676	stool
214995	stool
206636	stool
206619	stool
206703	stool
206729	stool
206756	stool
206561	stool
222171	stool
206752	stool
206708	stool
215077	stool
219643	stool
206670	stool
219654	stool
206564	stool
219693	stool
206738	stool
206604	stool
206719	stool
219638	stool
206614	stool
206538	stool
206700	stool
215004	stool
206622	stool
219658	stool
206668	stool
206678	stool
224844	stool
224323	stool
206643	stool
215080	stool
206701	stool
215084	stool
206572	stool
215048	stool
206739	stool
215058	stool
206675	stool
206746	stool
206562	stool
219692	stool
206733	stool
219651	stool
206770	stool
224327	stool
206616	stool
206534	stool
206743	stool
215076	stool
206569	stool
215074	stool
206758	stool
206709	stool
206672	stool
206682	stool
215075	stool
206721	stool
206684	stool
206755	stool
206547	stool
215067	stool
219645	stool
206644	stool
206730	stool
219670	stool
206603	stool
206658	stool
215050	stool
215085	stool
206620	stool
219655	stool
215056	stool
206536	stool
219657	stool
206747	stool
215057	stool
206734	stool
206766	stool
215055	stool
206768	stool
219633	stool
206769	stool
224328	stool
206563	stool
219653	stool
215003	stool
206767	stool
206677	stool
206751	stool
206647	stool
219656	stool
206615	stool
206726	stool
215062	stool
206618	stool
224330	stool
219691	stool
206725	stool
215008	stool
206628	stool
206671	stool
206754	stool
206645	stool
206627	stool
206621	stool
206741	stool
206704	stool
206656	stool
215023	stool
206667	stool
206727	stool
206718	stool
219634	stool
206646	stool
219652	stool
224845	stool
206761	stool
206625	stool
206655	stool
206626	stool
206740	stool
206742	stool
206713	stool
206571	stool
219659	stool
224326	stool
206732	stool
219646	stool
206635	stool
206608	stool
206695	stool
222170	stool
215009	stool
215061	stool
219669	stool
206724	stool
206570	stool
214994	stool
